brand_slug,part_number,title,url,availability,category,series,raw
"siemens","7mh7161-0bb20-zy01","7MH7161-0BB20-ZY01","https://www.obsoautomation.com/product/7mh7161-0bb20-zy01/","","","","{""snippet"":""X7MH7161-0BB20-ZY01AvailableSIEMENS TEST CHAINS[…]SIEMENSQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"siemens","7mh7161-0bb30","7MH7161-0BB30","https://www.obsoautomation.com/product/7mh7161-0bb30/","","","","{""snippet"":""X7MH7161-0BB30AvailableSIEMENS TEST CHAINS[…]SIEMENSQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"siemens","1794-aent","1794-AENT","https://www.obsoautomation.com/product/1794-aent/","","","","{""snippet"":""1794-AENT Available ALLEN BRADLEY Digital Cable Connection Products[…] Get a Quote""}"
"siemens","e200","E200","https://www.obsoautomation.com/product/e200/","","","","{""snippet"":""E200 Available BEIJER HMI[…] Get a Quote""}"
"siemens","2198-d012-ers3","2198-D012-ERS3","https://www.obsoautomation.com/product/2198-d012-ers3/","","","","{""snippet"":""2198-D012-ERS3 Available ALLEN BRADLEY DUAL AXIS INVERTER[…] Get a Quote""}"
"siemens","e1022","E1022","https://www.obsoautomation.com/product/e1022/","","","","{""snippet"":""E1022 Available Beijer Electronics HMI[…] Get a Quote""}"
"schneider","sh10050030000000001100","All Products","https://www.obsoautomation.com/product/sh10050030000000001100/","","","","{""snippet"":""All Products Per Page 12 24 60 Product Manufacturer View XSH100/50030/0/0/00/00/00/11/00AvailableSCHNEIDER ELECTRIC SERVO MOTOR[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXATV71HU15M3AvailableSCHNEIDER ELECTRIC SPEED DRIVE[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXILM1002P02F0000AvailableSchneider Electric integrated servo motor - 4.4 Nm - 3000 rpm - multiturn - with brake[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXTSXDSY64T2KAvailableSCHNEIDER ELECTRIC OUTPUT MODULE[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveX04243AvailableSCHNEIDER ELECTRIC Covers for horizontal cable straps (4) - Prisma[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveX2070001AvailableSCHNEIDER ELECTRIC TC 22-26 2,5x45mm white Clip, round[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveX23016AvailableSCHNEIDER ELECTRIC ACTI9 IID 4P 40A 30MA A-SI-TYPE RESIDUAL[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveX33622AvailableSCHNEIDER ELECTRIC 3P SPREADER 630/1600A[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXA9F77316AvailableSCHNEIDER ELECTRIC Acti9, iC60N circuit breaker 3P 16A curve C[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXA9F79116AvailableSCHNEIDER ELECTRIC iC60N 1P C 16A 6000A[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXA9F89310AvailableSCHNEIDER ELECTRIC iC60H 3P C 10A 10000A[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXA9R63640AvailableSCHNEIDER ELECTRIC A9R63640[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove 1 2 3 … 2,216 →""}"
"schneider","atv71hu15m3","ATV71HU15M3","https://www.obsoautomation.com/product/atv71hu15m3/","","","","{""snippet"":""XATV71HU15M3AvailableSCHNEIDER ELECTRIC SPEED DRIVE[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","ilm1002p02f0000","ILM1002P02F0000","https://www.obsoautomation.com/product/ilm1002p02f0000/","","","","{""snippet"":""XILM1002P02F0000AvailableSchneider Electric integrated servo motor - 4.4 Nm - 3000 rpm - multiturn - with brake[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","tsxdsy64t2k","TSXDSY64T2K","https://www.obsoautomation.com/product/tsxdsy64t2k/","","","","{""snippet"":""XTSXDSY64T2KAvailableSCHNEIDER ELECTRIC OUTPUT MODULE[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
